digits,accuracy,Precision,Recall,F-Score,Support
sigma: 0.1,0.090143218197135638,0.10000000000000001,0.0090143218197135631,0.01653786707882535,118.7
Dados por classe
 , ,1.0,0.09014321819713564,0.1653786707882535,1187.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
digits,accuracy,Precision,Recall,F-Score,Support
sigma: 0.2,0.095197978096040442,0.10508474576271187,0.10906011854360712,0.026292326187136849,118.7
Dados por classe
 , ,1.0,0.09060118543607112,0.16614906832298137,1181.0
 , ,0.05084745762711865,1.0,0.0967741935483871,6.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
digits,accuracy,Precision,Recall,F-Score,Support
sigma: 0.3,0.14490311710193765,0.15471617508965049,0.8095365418894831,0.11561050670591624,118.7
Dados por classe
 , ,1.0,0.09536541889483066,0.1741253051261188,1122.0
 , ,0.211864406779661,1.0,0.3496503496503497,25.0
 , ,0.07476635514018691,1.0,0.1391304347826087,8.0
 , ,0.03968253968253968,1.0,0.07633587786259541,5.0
 , ,0.0847457627118644,1.0,0.15625,10.0
 , ,0.0,0.0,0.0,0.0
 , ,0.06060606060606061,1.0,0.1142857142857143,8.0
 , ,0.025,1.0,0.04878048780487806,3.0
 , ,0.009174311926605505,1.0,0.018181818181818184,1.0
 , ,0.04132231404958678,1.0,0.07936507936507936,5.0
digits,accuracy,Precision,Recall,F-Score,Support
sigma: 0.4,0.40606571187868579,0.41202275962329643,0.91317733990147798,0.47203933619125815,118.7
Dados por classe
 , ,1.0,0.13177339901477833,0.23286180631120787,812.0
 , ,0.576271186440678,1.0,0.7311827956989247,68.0
