iris,accuracy,Precision,Recall,F-Score,Support
sigma: 0.1,0.010101010101010102,0.0064935064935064931,0.0020661157024793389,0.003134796238244514,4.5
sigma: 0.2,0.040404040404040407,0.025974025974025972,0.008658008658008658,0.012987012987012986,4.5
sigma: 0.3,0.070707070707070704,0.045454545454545456,0.012727272727272728,0.01988636363636364,4.5
sigma: 0.4,0.070707070707070704,0.045454545454545456,0.013257575757575758,0.020527859237536656,4.5
sigma: 0.5,0.070707070707070704,0.045454545454545456,0.013833992094861662,0.021212121212121213,4.5
sigma: 0.6,0.070707070707070704,0.045454545454545456,0.013833992094861662,0.021212121212121213,4.5
sigma: 0.7,0.070707070707070704,0.045454545454545456,0.013833992094861662,0.021212121212121213,4.5
sigma: 0.8,0.070707070707070704,0.045454545454545456,0.013833992094861662,0.021212121212121213,4.5
sigma: 0.9,0.070707070707070704,0.045454545454545456,0.013833992094861662,0.021212121212121213,4.5
sigma: 1.0,0.080808080808080815,0.061688311688311688,0.014832535885167464,0.022474747474747474,4.5
b_cancer,accuracy,Precision,Recall,F-Score,Support
sigma: 0.1,0.0,0.0,0.0,0.0,0.90821256038647347
sigma: 0.2,0.0,0.0,0.0,0.0,0.91041162227602901
sigma: 0.3,0.0,0.0,0.0,0.0,0.91707317073170735
sigma: 0.4,0.0,0.0,0.0,0.0,0.9330024813895782
sigma: 0.5,0.0026595744680851063,0.0025906735751295338,2.1062386789671007e-05,4.1785057663379585e-05,0.97409326424870468
sigma: 0.6,0.0026595744680851063,0.0026595744680851063,1.8341892883345561e-05,3.6432526960069946e-05,1.0
sigma: 0.7,0.0026595744680851063,0.0026737967914438501,1.7707263519495696e-05,3.5181536729524345e-05,1.0053475935828877
sigma: 0.8,0.0026595744680851063,0.0026954177897574125,1.7278319165111616e-05,3.433653235359761e-05,1.013477088948787
sigma: 0.9,0.0026595744680851063,0.0027100271002710027,1.7261319110006387e-05,3.430414050975953e-05,1.018970189701897
sigma: 1.0,0.0026595744680851063,0.0027100271002710027,1.7261319110006387e-05,3.430414050975953e-05,1.018970189701897
digits,accuracy,Precision,Recall,F-Score,Support
sigma: 0.1,0.93428812131423755,0.090404102817597615,0.087445363104955501,0.088798377909319562,69.82352941176471
sigma: 0.2,0.93428812131423755,0.086996416213544245,0.085227024350025035,0.086061120890220014,69.82352941176471
sigma: 0.3,0.93681550126368995,0.083746292634700931,0.086453781512605035,0.084956238404550688,69.82352941176471
sigma: 0.4,0.93934288121314236,0.08049616905585763,0.085590812162820273,0.082435444191003807,69.82352941176471
sigma: 0.5,0.94102780117944396,0.068889026198714787,0.075230021709914191,0.071113889901989746,69.82352941176471
sigma: 0.6,0.94524010109519796,0.069151631240731579,0.086649616368286456,0.073339567583401877,69.82352941176471
sigma: 0.7,0.94355518112889636,0.058823529411764705,0.056454458390039819,0.057614650582576712,69.82352941176471
sigma: 0.8,0.94439764111204716,0.11764705882352941,0.070491109229466553,0.080793516885241723,69.82352941176471
sigma: 0.9,0.94355518112889636,0.058823529411764705,0.055503245948758606,0.057115173767816621,69.82352941176471
sigma: 1.0,0.94355518112889636,0.058823529411764705,0.055503245948758606,0.057115173767816621,69.82352941176471
