iris,accuracy,Precision,Recall,F-Score,Support
sigma: 0.1,1.0,1.0,1.0,1.0,33.0
sigma: 0.2,0.96969696969696972,0.96805555555555556,0.967741935483871,0.96773354150403323,33.0
sigma: 0.3,0.95959595959595956,0.95694444444444449,0.95694444444444449,0.95694444444444449,33.0
sigma: 0.4,0.95959595959595956,0.95694444444444449,0.95694444444444449,0.95694444444444449,33.0
sigma: 0.5,0.95959595959595956,0.95694444444444449,0.95694444444444449,0.95694444444444449,33.0
sigma: 0.6,0.9494949494949495,0.9458333333333333,0.9467084639498432,0.9461103867883528,33.0
sigma: 0.7,0.93939393939393945,0.93472222222222223,0.93697478991596628,0.93521421107628011,33.0
sigma: 0.8,0.92929292929292928,0.9243055555555556,0.92511320097526994,0.92455454150369398,33.0
sigma: 0.9,0.92929292929292928,0.9243055555555556,0.92511320097526994,0.92455454150369398,33.0
sigma: 1.0,0.92929292929292928,0.9243055555555556,0.92511320097526994,0.92455454150369398,33.0
b_cancer,accuracy,Precision,Recall,F-Score,Support
sigma: 0.1,0.70744680851063835,0.75223605348086675,0.73957086556707052,0.70661672908863915,188.0
sigma: 0.2,0.80319148936170215,0.82692485016136463,0.80101881986698742,0.79872685185185177,188.0
sigma: 0.3,0.80851063829787229,0.82781619794067929,0.8024558318917846,0.8031585376494198,188.0
sigma: 0.4,0.80851063829787229,0.82781619794067929,0.8024558318917846,0.8031585376494198,188.0
sigma: 0.5,0.80851063829787229,0.82781619794067929,0.8024558318917846,0.8031585376494198,188.0
sigma: 0.6,0.80851063829787229,0.82781619794067929,0.8024558318917846,0.8031585376494198,188.0
sigma: 0.7,0.81117021276595747,0.82989088673735978,0.80453410509590284,0.80571586600391532,188.0
sigma: 0.8,0.81648936170212771,0.83404026433072076,0.80875000000000008,0.81083623159874874,188.0
sigma: 0.9,0.81648936170212771,0.83404026433072076,0.80875000000000008,0.81083623159874874,188.0
sigma: 1.0,0.81914893617021278,0.83611495312740125,0.81088841506751952,0.81339950372208436,188.0
digits,accuracy,Precision,Recall,F-Score,Support
sigma: 0.1,0.090143218197135638,0.10000000000000001,0.0090143218197135631,0.01653786707882535,118.7
sigma: 0.2,0.095197978096040442,0.10508474576271187,0.10906011854360712,0.026292326187136849,118.7
sigma: 0.3,0.14490311710193765,0.15471617508965049,0.8095365418894831,0.11561050670591624,118.7
sigma: 0.4,0.40606571187868579,0.41202275962329643,0.91317733990147798,0.47203933619125815,118.7
sigma: 0.5,0.75063184498736313,0.75145645309494147,0.92655086848635226,0.79040004145570963,118.7
sigma: 0.6,0.92417860151642794,0.92409367273574561,0.94952996864052674,0.92863780977383958,118.7
sigma: 0.7,0.96798652064026958,0.96815254964895436,0.96769075576870056,0.96743997117575109,118.7
sigma: 0.8,0.97472620050547598,0.97453487944037498,0.97429327124122644,0.97433688140902996,118.7
sigma: 0.9,0.97641112047177758,0.97628564396636874,0.97623035615798026,0.97617858447459283,118.7
sigma: 1.0,0.97641112047177758,0.97628564396636874,0.97623035615798026,0.97617858447459283,118.7
